search_postcode,search_radius,date_scraped,date_posted,valid_until,job_id,job_title,job_type,location,contact_name,start_date,salary_min,listed_on,recruiter,recruiter_url,job_reference,url,job_description,job_skills,addressLocality,addressRegion,postalCode,addressCountry
W4 2LP,[5],2018-11-28 21:43:44,2018-10-29,2018-11-29T00:00,2589161,Technical Services Engineer,FULL_TIME,"London,Greater London,E1,GB",HKQJH0712/SE,Permanent,[40000],2018-10-29,Backbone,http://,HKQJH0712/SE,https://www.technojobs.co.uk/job/2589161/technical-services-engineer/,"Technical Services Engineer 
London, EC1R (office/field based, with travel to customer sites across London and the South of England) 
Up to &pound;40,000 DOE Plus Pension Scheme, Laptop, Mobile Phone, 20 Days&rsquo; Holiday (rising with service)  
  
Backbone is an IT managed service provider that specialises in providing small and medium sized businesses with a comprehensive range of local on-premise and cloud based IT services. 
  
With a growing portfolio of over 175 customers, we operate in a very busy and demanding space where needs change fast and new projects and opportunities are constantly becoming available. 
  
We&rsquo;re now looking for a Technical Services Engineer to help maintain, develop, secure and improve the services delivered to our Managed Services customers. 
  
As a Technical Services Engineer, you will: 
  
- Manage the lifecycle of local and cloud based infrastructures 
- Work to enhance existing cloud products and services 
- Provide onsite escalation for Service desk activities 
- Identify and propose solutions to customers&rsquo; issues 
- Contribute to the ongoing development of technical standards and documents 
- Spend approximately 50% of your role visiting customers to service their needs. 
  
Interested? 
  
To join us as a Technical Services Engineer, you&rsquo;ll need great communication skills. Experience of the following is also essential: 
  
- Windows OS (Windows 10) 
- TCP/IP Networking (routing and switching in wired and wireless LAN/WAN environments) 
- Microsoft Office 365, Exchange Online and Azure 
- x86 Server hardware 
- MS Office 2016 and common desktop software 
- Fortinet network security hardware 
- VoIP (Skype for Business) 
- Terminal services, Group Policy, registry and user profiles and Active Directory 
- Windows server 2016 
- Windows server builds, file server / DFS, IIS and clustering 
- Internet connectivity 
- Office moves 
- Desktop client refresh 
- Server infrastructure refresh 
  
Knowledge of the following would be beneficial: MaaS360, VMware Horizon DaaS or Horizon View 6+, VMware, vSphere v5.5 and above, scripting or Linux. 
  
We&rsquo;d love to hear from you if you&rsquo;ve worked as a Technical Support Engineer, Service Desk Engineer, Helpdesk Engineer, Infrastructure Engineer, Infrastructure Support Analyst, IT Support Analyst, Cloud Support Analyst or IT Support Engineer. 
  
What are the benefits? 
  
- The flexibility to work from home when necessary 
- Become a key member of a small, but rapidly growing team  
- Opportunities to get involved in various areas of the business 
- Get involved with a range of projects 
- Take on a varied and challenging role where no two days are the same  
- Vibrant and engaging work environment  
  
Webrecruit and Backbone are equal opportunities employers, value diversity and are strongly committed to providing equal employment opportunities for all employees and all applicants for employment. Equal opportunities are the only acceptable way to conduct business and we believe that the more inclusive our environments are, the better our work will be. 
  
To apply for the role of Technical Services Engineer, please apply via the button shown. This vacancy is being advertised by Webrecruit. The services advertised by Webrecruit are those of an Employment Agency.","support,cloud,windows,engineer,hardware,voip,vmware,vsphere,security,software,wireless,wan,networking,helpdesk,fortinet",London,Greater London,E1,GB
W4 2LP,[5],2018-11-28 21:43:48,2018-11-02,2018-12-02T00:00,2591778,System Administrator,FULL_TIME,"London,Greater London,E1,GB",MNG Management Limited,ASAP,NA,2018-11-02,MNG Management Limited,http://,TJ,https://www.technojobs.co.uk/job/2591778/system-administrator/,"MNG Management Limited is a Management Consultancy and BPO Service provider with offices based in Wapping, London. We are currently looking for an experienced Systems Administrator to join our small team to overhaul the existing IT set up to ensure that we offer a first rate level of IT support required by our Clients.

ESSENTIAL FUNCTIONS:

The System Administrator (SA) is responsible for effective provisioning, installation/configuration, operation, and maintenance of systems hardware and software and related infrastructure. This individual participates in technical research and development to enable continuing innovation within the infrastructure. This individual ensures that system hardware, operating systems, software systems, and related procedures adhere to organizational values.

This individual will assist project teams with technical issues in the Initiation and Planning phases of our standard Project Management Methodology. These activities include the definition of needs, benefits, and technical strategy; research & development within the project life-cycle; technical analysis and design; and support of operations staff in executing, testing and rolling-out the solutions. Participation on projects is focused on smoothing the transition of projects from development staff to production staff by performing operations activities within the project life-cycle.

This individual is accountable for the following systems: Linux and Windows systems that support GIS infrastructure; Linux, Windows and Application systems that support Asset Management; Responsibilities on these systems include SA engineering and provisioning, operations and support, maintenance and research and development to ensure continual innovation.

SA Engineering and Provisioning

1. Engineering of SA-related solutions for various project and operational needs.
2. Install new / rebuild existing servers and configure hardware, peripherals, services, settings, directories, storage, etc. in accordance with standards and project/operational requirements.
3. Install and configure systems such as supports GIS infrastructure applications or Asset Management applications.
4. Develop and maintain installation and configuration procedures.
5. Contribute to and maintain system standards.
6. Research and recommend innovative, and where possible automated approaches for system administration tasks.  Identify approaches that leverage our resources and provide economies of scale.

Operations and Support

7. Perform daily system monitoring, verifying the integrity and availability of all hardware, server resources, systems and key processes, reviewing system and application logs, and verifying completion of scheduled jobs such as backups.
8. Perform regular security monitoring to identify any possible intrusions.
9. Perform daily backup operations, ensuring all required file systems and system data are successfully backed up to the appropriate media, recovery tapes or disks are created, and media is recycled and sent off site as necessary.
10. Perform regular file archival and purge as necessary.
11. Create, change, and delete user accounts per request.
12. Provide Tier III/other support per request from various constituencies.  Investigate and troubleshoot issues.
13. Repair and recover from hardware or software failures.  Coordinate and communicate with impacted constituencies.

Maintenance

14. Apply OS patches and upgrades on a regular basis, and upgrade administrative tools and utilities. Configure / add new services as necessary.
15. Upgrade and configure system software that supports GIS infrastructure applications or Asset Management applications per project or operational needs.
16. Maintain operational, configuration, or other procedures.
17. Perform periodic performance reporting to support capacity planning.
18. Perform ongoing performance tuning, hardware upgrades, and resource optimization as required.  Configure CPU, memory, and disk partitions as required.
19. Maintain data center environmental and monitoring equipment.

KNOWLEDGE/SKILLS: 

1. Bachelor (4-year) degree, with a technical major, such as engineering or computer science.
2. Systems Administration/System Engineer certification in Unix and Microsoft.
3. Four to six year&rsquo;s system administration experience.

COMPLEXITY/PROBLEM SOLVING:

1. Position deals with a variety of problems and sometime has to decide which answer is best. The question/issues are typically clear and requires determination of which answer (from a few choices) is the best.

RESPONSIBILITY/OVERSIGHT -FINANCIAL & SUPERVISORY:

1. Functions as a lead worker doing the work similar to those in the work unit; responsibility for training, instruction, setting the work pace, and possibly evaluating performance.
2. Budget responsibility.

COMMUNICATIONS/INTERPERSONAL CONTACTS:

1. Interpret and/or discuss information with others, which involves terminology or concepts not familiar to many people; regularly provide advice and recommend actions involving rather complex issues. May resolve problems within established practices.
2. Provides occasional guidance, some of which is technical.

WORKING CONDITIONS/PHYSICAL EFFORT:

1. Responsibilities will require working evenings and weekends, sometimes with little advanced notice.
2. No regular travel required.","support,engineering,software,hardware,administrator,gis,windows,analysis,engineer,security,testing,linux,unix",London,Greater London,E1,GB
W4 2LP,[5],2018-11-28 21:43:48,2018-11-06,2018-12-06T00:00,2593159,.NET Developer,FULL_TIME,"London,Greater London,E1,GB",MountainWarehouse,ASAP,NA,2018-11-06,MountainWarehouse,http://,TJ345844156,https://www.technojobs.co.uk/job/2593159/net-developer/,"Overview

The growing development team at Mountain Warehouse is split into 4 teams, each looking after a different set of applications and using a loose Kanban approach. The architecture is microservices with continuous deployment.

We are a collaborative team with a strong culture of code review, occasional usage of pair programming, lots of unit tests. We&rsquo;re keen to write code following best practice and to continuously find ways that we can be even better. The work is a mixture of green-field and legacy work (much like any other mature organisation) mostly using C# and SQL Server - the microservices approach allows us to use other technologies as appropriate and we&rsquo;ve got some MongoDB applications in development.

What you'll be doing

We are looking for developers to join any of our 3 UK teams, the roles are primarily back-end&rdquo; but there is some user interface work to be done for those with an interest in it.

We would love to meet someone with

-C# in a commercial environment.
-Ability to solve problems in code quickly and simply.
-Solid understanding of how http and network communication works.
-Excellent communication skills.
-Ability to produce initial results rapidly and iterate based upon feedback.

This is a selection of what we&rsquo;re using - let us know what you have experience of, we can train in the rest.

-Test Driven Development.
-RabbitMQ / MassTransit.
-Microservices architecture.
-Entity Framework
-MVC.
-MongoDB.
-React.
-RESTful API design / Web.API.
-Machine Learning.
-Azure.
-Jenkins.
-Docker.
-.net Core.
-GitFlow. 
-Dependency Injection with AutoFac, Unity and StructureMap.
-SQL Server stored procedures.

We have regular learning days, lunch&rsquo;n&rsquo;learns, two hack events a year and a budget for training courses or conferences. The department is light on meetings and big on doing - we give you the time to complete your work to a high standard. As a privately-owned company we tend to be fast-moving, and as we&rsquo;re profitable and growing we tend to be able to afford the tools and hardware we need.The IT department is over the road from the rest of head office. We have a large, modern open-space environment that&rsquo;s been recently refurbished.It&rsquo;s a sociable environment - the current team tend to go for lunch most days, the local pub is occupied by the company most Fridays, there are two big parties a year, etc.

What's in it for you?

-Competitive salary and benefits
-22 days holiday allowance with bank holidays, plus 1 day per year at the company
-50% staff discount & 25% for family and friends
-Training budget & access to training tools and classes
-Private medical cover
-Pension scheme
-Life Insurance (eligible after a probationary period)
-Travel season ticket loan (eligible after a probationary period)
-Cycle to work scheme (eligible after a probationary period)
-Childcare voucher scheme (eligible after a probationary period)
-Free Yoga and Pilates classes on site
-Fresh fruit daily
-Fully subsidised summer and Christmas parties
-Regular sample sales

About Us

At Mountain Warehouse we have been developing the very best outdoor gear for all the family since 1997.

Unlike other outdoor retailers, we don&rsquo;t carry lots of different brands. In fact, almost all the products we sell through our stores and website are exclusive to Mountain Warehouse - you won&rsquo;t find them anywhere else.

Why do we do this? Well, by designing our own top quality products and having them made to our exacting standards, we can cut out the middleman. So that means you get the exact same quality, but at significantly lower prices than you&rsquo;ll find at other shops.

We have well located and well stocked stores where you and your family can get straightforward advice from our knowledgeable, friendly staff. In most of our stores you can even bring your dog in too! Everything we do is focused on serving our growing group of customers who like what we have to offer: the best gear, the best service and the best prices.

We would love it if you joined them.","rest,sql,hardware,architecture,network,mongodb,csharp,developer,insurance,kanban,.net",London,Greater London,E1,GB
W4 2LP,[5],2018-11-28 21:43:48,2018-11-05,2018-12-05T00:00,2592748,Data Science Manager,FULL_TIME,"London,Greater London,E1,GB",Candidate Services,ASAP,[25000],2018-11-05,Ovo Energy,http://,HKQMX1412/JW,https://www.technojobs.co.uk/job/2592748/data-science-manager/,"Data Science Manager
Notting Hill, London
&pound;Competitive salary DOE + Flexible Benefits, Bonus, Flexible Working Hours, 25 Days' Holiday + Day Off on Birthday

Tell me about VCharge&hellip;.

VCharge is the centrepiece of OVO&rsquo;s ambition in becoming the world leader in distributed energy technology. It is an intelligent control layer running on top of the already existing energy infrastructure, giving both the market players as well the end consumers a fast forward ticket to the distributed energy future. VCharge will be the nervous system of the OVO&rsquo;s energy IoT landscape sitting between grid operators and end customers, and connecting energy suppliers, energy IoT and VPP.

Join a team of top-notch tech talent in their quest to shape the energy ecosystem of the future. You will be working shoulder to shoulder with people from Facebook, Amazon, Manor Racing, Goldman Sachs, to name but a few.

That sounds great! What will I be doing?

You&rsquo;ll manage a small team of data scientists whilst also being hands on as a senior data scientist. You will be interacting with senior stakeholders in the business as well as your peers (product managers and engineering managers) to better understand the problem space and shape the data science agenda. In addition to line management duties, you will need to bring best practices and processes to the team and help each of the team members maximise their potential. You will help define what success looks like for the team and define clear team and personal objectives for each of the team members.

You&rsquo;ll apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with our core/business products.

That sounds super exciting, but&hellip; Do I have what it takes?

- Extensive experience as a data scientist
- Experience in a hands-on managerial role in a collaborative data science team.
- Experience in physical simulation, control systems, time series modelling and forecasting. statistical learning. Experience with complex data set visualisations.
- Solid understanding of statistics, algorithmics, optimisation and modelling techniques.
- Experience working with senior stakeholders, laser focus on delivery. Experience working closely with product managers and engineering managers.
- Experience in setting tools/processes/frameworks to facilitate the work of the data science team. Big focus on communication and Cross-sector/industry experience.
- Used to working with large volumes of data, and is knowledgeable of the various tools to manipulate these as well as various data manipulation and visualisation tools. Experience with data science cloud platform technologies (e.g. AWS/GCP).
- Led successful data science projects from inception, design, implementation, testing, deployment, visualisation and stakeholder presentation.
- Ability to initiate and drive projects to completion with minimal guidance. Ability to visualise, communicate and explain complicated concepts to a non-technical crowd.
- Fluency in SQL and Python - Go/Scala would be a plus.
- Be up to date on the latest trends in the data science/data engineering community. 

Benefits

- Sunday Times' top 20 list of the best companies to work for
-4% on top of salary for flexible benefits
- The opportunity to get involved with conferences, meet-ups, hackathons, tech talks and teaching kids to code
- A clearly defined career path
- Open plan office in Notting Hill
- Free breakfast every day and lunch on Fridays
- Lots of social events
- Training budget
- Matched volunteering and matched fundraising

To apply for the role of Data Science Manager, please apply via the button shown.

This vacancy is being advertised by Webrecruit. The services advertised by Webrecruit are those of an Employment Agency.

Additional Keywords: Data Science Manager, Senior Data Scientist, Lead Data Scientist, Data Science Manager, Data Insight Manager, Senior Data Insight Analyst, Data Analysis Manager or Data Science Specialist.","engineering,visualisation,cloud,sql,scala,python,analysis",London,Greater London,E1,GB
W4 2LP,[5],2018-11-28 21:43:49,2018-11-02,2018-12-02T00:00,2591782,Infrastructure Engineers,FULL_TIME,"London,Greater London,E1,GB",MI5,ASAP,[37152],2018-11-02,MI5,http://,1627,https://www.technojobs.co.uk/job/2591782/infrastructure-engineers/,"MI5&rsquo;s Infrastructure Services is made up of a number of engineering teams, each playing their part to ensure the organisation&rsquo;s IT Services are reliable, stable and resilient to help keep the country safe. This is an exciting opportunity to be part of one of these teams and contribute to protecting the UK from threats to national security, including terrorism and espionage.

We are seeking individuals who have a passion for IT, are enthusiastic and keen to learn. You will already have some IT experience in any of the roles on offer, and regardless of which area you join us in, we will develop your technical capability with on the job training and an opportunity to obtain industry recognised accreditation where necessary.

On this occasion, we are looking individuals to join the following areas within the Infrastructure Services:

&bull;Network Engineers
&bull;Desktop Implementation Engineers
&bull;Infrastructure Tools Engineers
&bull;Mobile Connections Engineers
&bull;Data Centre Service Engineers
&bull;IT Operations Engineers
&bull;Systems Monitoring Engineer

 Key Responsibilities 

Depending on the role, your responsibilities will vary but you can be sure you will be part of a supportive team and provided with the opportunity to develop your technical knowledge for a rewarding career within MI5. This is not an exhaustive list of responsibilities

&bull;Support and troubleshoot a variety of different IT systems;
&bull;Build a good customer relationship with end users and deliver excellent customer service;
&bull;Receive and respond to IT incidents and service requests within agreed SLAs;
&bull;Liaise regularly with other IT support teams, including partners in other UK intelligence agencies; to ensure they are up to date and informed;
&bull;Identify problems and areas for continual service improvement;

 The Person 

We are looking for enthusiastic individuals who have a strong desire to develop their technical skills in a specific area of MI5&rsquo;s infrastructure Services. You will be expected to work as part of a team, dealing directly with customers and sometimes in response to time critical operational requests. Therefore, strong troubleshooting ability is essential for success in this role.

You will be required to be able to effectively plan ahead and set clearly defined and realistic deadlines, taking a flexible approach to problem solving.

As we are seeking a wide range of technical skills, we are seeking individuals who can demonstrate knowledge and experience in some of these areas: a good working knowledge of Microsoft (MS) operating systems, including MS office suite. Practical experience in IT installation and PC hardware diagnosis and repair; a good knowledge of Networking, Windows SCCM 2012/CB, Windows Server Management and Mobile Communications; a good understanding of network, storage and computer hardware platforms as well as Data Centre Infrastructure Management (DCIM) and experience in using Data Centre toolsets.

ITIL foundation is desirable, but not essential.

 Key skills 

We are also looking for people with some experience in any of the following areas

&bull;Proxy Configuration
&bull;Hardware installation and diagnosis
&bull;VB Script or PowerShell
&bull;Microsoft Windows operating system support
&bull;Microsoft Office Support
&bull;RHEL Administration 
&bull;Enterprise Anti-Virus support

We particularly welcome applications from women and Black, Asian and Minority Ethnic candidates. 

 To find out more and apply, please visit our website by clicking the APPLY button. 

To apply to MI5 you must be a born or naturalised British citizen, over 18 years old and normally have lived in the UK for nine of the last ten years. You should not discuss your application, other than with your partner or close family member","windows,hardware,support,sccm,microsoft,engineering",London,Greater London,E1,GB
W4 2LP,[5],2018-11-28 21:43:49,2018-10-31,2018-12-01T00:00,2590880,UI Developer,FULL_TIME,"London,Greater London,E1,GB",Barclays,ASAP,NA,2018-10-31,Barclays,http://,90191183,https://www.technojobs.co.uk/job/2590880/ui-developer/,"You will play a key role in development support, enhancement and build-out of core applications within our Investment Bank technology portfolio. You will develop leading edge technologies in collaboration with a truly globally distributed development team. As part of Investment Bank Technology you&rsquo;ll be part of a major innovation project, improving award winning platforms and enhancing the way people manage trades and investments.

If you have strong experience developing HTML5 applications, with exposure and understanding of front and back-end languages/technologies. And you want to find new applications for your code, making a big impact on a global scale, then Barclays is the place for you. We&rsquo;re always developing - you should be too.
 
Your Role
&bull; The role is 100% hands-on with 80% development and 20% support
&bull; You will develop high quality maintainable code
&bull; You will make technical decisions that require a strong understanding of the problem domain
&bull; You will collaborate and communicate globally with other developers to build technical solutions
&bull; You will have a strong knowledge of software development methods, tools and standards and actively keep this knowledge current (i.e. desire to learn)
&bull; You will adhere to Policies & Standards appropriate to the role - outlined in the Code of Conduct and mandatory training. 
 
Essential Skills
&bull; Proven experience developing medium to large size HTML5 application covering: TypeScript and JavaScript, Angular2+, Bootstrap, CSS3, Less, General server side development and SQL
&bull; Experience developing application in Core Java for general server side development
&bull; Proven Agile experience (preferably Scrum/Kanban)

Desirable Skills
&bull; Knowledge of Equity Derivatives/Structured products and HTTP protocol and web services
&bull; Experience providing support and resolving production issues and cross-region teams and projects
&bull; Experience with HighCharts, Spring Framework, and writing Oracle PL/SQL code
&bull; Experience building systems in trading, banking and/ or financial organization

About Us
Barclays is a transatlantic consumer, corporate and investment bank offering products and services across personal, corporate and investment banking, credit cards and wealth management, with a strong presence in our two home markets of the UK and the US. Our goal is to become the bank of choice by providing superior services to customers and clients and supporting our stakeholders via a commercially successful business that generates long-term sustainable returns.
 
About Barclays International Commercial Growth Initiative 
The Barclays International Markets business is making a major technology investment and has mobilised the Commercial Growth Programme to drive an ambitious revenue growth plan focused on maintaining and building our trading capabilities. This initiative will see a major boost to Technology resource talent who will work on a wide range of leading edge technology programmes. We have identified over 600 roles to be hired across Pre-Trade Technology, Post Trade Technology and Risk, Finance and Treasury Technology globally, including key hubs in London, New York, Glasgow, Pune and Prague. We are hiring creative and driven Technologists, from a wide range of industry sectors that have exposure to high availability and high transactional online systems. There has never been a more exciting time to join Barclays International.","html5,sql,spring,support,software,ui,scrum,oracle,banking,developer,finance,java,agile",London,Greater London,E1,GB
W4 2LP,[5],2018-11-28 21:43:49,2018-10-31,2018-12-01T00:00,2570397,Graduate Opportunities in IT,FULL_TIME,",,NO_CODE,",Ford Credit Europe,,[34000],2018-10-31,Ford Credit Europe,http://,fordcreditIT01,https://www.technojobs.co.uk/job/2570397/graduate-opportunities-in-it/,"Graduate Opportunities in IT

As a Ford IT graduate you will have the opportunity to move between Ford Motor Company and Ford Credit Europe Bank, our financial subsidiary. This exposure allows you to understand the fundamental operations that drive and support our business.

The distance between imagination and&hellip;creation. It can be measured in years of innovation, or in moments of brilliance, and you can start travelling right now. When you join Ford, your journey begins. You become part of a team that is already leading the way, with ingenious solutions and attainable products - and it is always ready to go further.

To be part of our future, you will need: 

-A minimum 2:2 undergraduate degree or a masters or a PhD in any subject, but preferably an IT or IT/business degree
-Experience working with IT solutions
-Effective interpersonal skills and a strong team working ethos
-An ability to communicate clearly in writing, over the phone, using social media and face-to-face
-To be highly motivated and have a dedicated approach from day one
-An innovative flair and ability to creatively problem-solve
-A strong customer focus

You will have the potential to thrive in a dynamic, innovative environment, whilst building positive relationships and collaborating with IT and business colleagues from all over the world to help develop, implement and enhance our information technology solutions. 

Our IT organisation is uniquely placed to anticipate and respond to the multiple key priorities of our automotive and mobility business. You will progress through a series of on-the-job placements to help you build on the knowledge and skills gained during your degree, performing a real role with real responsibilities. Your initial focus is likely to be in one of the following key business areas: 

What to expect:
 
Solutions Development:
- Working with internal business customers to develop, enhance and maintain IT solutions that are critical to the efficient operation of our global business.

Project Management: 
- Developing project charters and plans. Working with stakeholders to manage project budgets, resources and issues/risks, in order to ensure the successful delivery of IT solutions that meet the business critical requirements.

Solutions Support: 
- Providing front-line support for our critical IT applications and services.

Infrastructure Operations:
- Planning, building and operating a global IT infrastructure base.

Security:
- Providing 24x7 protection for our vehicles and critical IT systems to mitigate security breaches, including cyber threats.
 
You will also have the opportunity to develop skills in a variety of areas, such as: software engineering, mobile app development, product design, product management, web development, develops, service operations, strategy and planning, business partnering, and more. 

We will support you in developing strong leadership and communication skills through interaction with global teams, as well as honing your analytical skills finding and implementing innovative solutions to our hardware/software environments. 
Whatever your degree or experience, we will provide you with a wide view of IT in a business context.

Throughout your graduate career and beyond, you will find further opportunities to develop specific technical skills and focus on key leadership competencies. 
Many of our roles offer exciting opportunities to contribute at an international level across our organisation. IT is a global team, so you may also have the opportunity to travel to any Ford location worldwide. Graduates should, however, expect to be based in one of our main UK locations in South East Essex (Warley, Dunton, and Dagenham) or London (Stratford).

At Ford, the distance between you and an amazing career has never been shorter. Join the Ford team today, and discover the benefits, rewards and development opportunities you would expect from a diverse global leader.","graduate,support,software,security,hardware,strategy,phd,progress,automotive",,,NO_CODE,
W4 2LP,[5],2018-11-28 21:43:50,2018-11-22,2018-12-22T00:00,2600938,Performance Test Engineer,CONTRACTOR,"London,Greater London,NW1 0DU,GB",Jarret Devlin,,[510],2018-11-22,Adalta Solutions,http://,2444,https://www.technojobs.co.uk/job/2600938/performance-test-engineer/,"Performance Test Engineer - London6 month contract plus extensionC#, Performance Testing, Performance Tester, Visual Studio, VSTSA Performance Test Engineer is required for end to end, requirements gathering to Test execution, testing across a range of products and services for this global market leader. As a Performance Test Engineer, you will get to work with a cutting-edge tech stack and work in highly skilled SCRUM teams. You will act as an internal consultant in Performance Engineering by understanding the current environment and provide robustsolutions and make recommendations to improve quality. Training and development is key to this companies culture, they can also offer a relaxed and social space to work so this is a fantastic opportunity for the right Performance Test Engineer.Key tasks as a Performance Test Engineer:
'&euro;&cent;Ensure best practices for Performance Testing'&euro;&cent;Provide performance criterion and metrics for SCRUM teams'&euro;&cent;Promote and implement Performance testing as part of the development lifecycle'&euro;&cent;Explore and establish any possible performance deterioration in the code
Keys Skills as a Performance Test Engineer:
'&euro;&cent;Demonstrable experience of Performance Test Engineering - Coding load Test Scripts'&euro;&cent;Proven C# experience'&euro;&cent;Experience with Visual Studio / VSTS'&euro;&cent;Proven experience performance testing .Net Web Applications, Web Services'&euro;&cent;End to End Performance Testing - Requirements, Set Up, Test Scripts, Test Execution
Desirable Skills:
'&euro;&cent;Agile / Scrum'&euro;&cent;Continuous Integration / Delivery
How to Apply
'&euro;&cent;If you feel you have the relevant experience then please click apply&rdquo; or alternatively you can email me at Click here to contact this recruiter or [Telephone number removed]","test,testing,engineer,engineering,scrum,csharp,consultant,.net",London,Greater London,NW1 0DU,GB
W4 2LP,[5],2018-11-28 21:43:50,2018-11-08,2018-12-08T00:00,2594605,Internal Auditor,FULL_TIME,"West London,Greater London,W12,GB",Hayley Morris,ASAP,[55000],2018-11-08,Goodman Masson,http://,HM0811_1541696158,https://www.technojobs.co.uk/job/2594605/internal-auditor/,"Role overview:

A global organisation in Industry is searching for a Senior Internal Auditor to join the team. The purpose of this role is to contribute to successful completion of Audit Plan. Working in a team (with the opportunity to lead) this is an extremely fast paced role that will provide variety, exposure and the room for growth.

 

Responsibilities:

 * Contributes to successful completion of Audit Plan through assistance on audit engagements inclusive of planning and wrap-up activities.
 * Prepares clear and concise audit work papers and audit reports applying standard
 * Willingness to learn and capacity to apply company policies and procedures.
 * Completion of SOX procedures including walkthroughs and testing of critical cycles.
 * Reports to one or more member(s) of the Internal Audit management team.
 * Communicates with audit management and staff including participation in opening and closing meetings.
 * Applies risk and control concepts, identifying and communicating any potential issues in a timely and effective manner.
 * Works to achieve developmental goals set by Manager and actively participates in study programs.
 * Cooperates with all members of the Internal Audit team to complete global projects.
 * Provides value added ideas to improve the organisation.

 

Your Profile:

 * University Degree
 * Accounting/ Auditing experience
 * CPA/ACA, part-qualified or willing to pursue an accounting qualification
 * Experience with SOx
 * Strong analytical and technical skills
 * Knowledge of risk management/ audit principles and an understanding of audit methods and techniques
 * Proficient in Microsoft Office

 

They can offer:

 * Excellent training and development opportunities
 * Exposure across the business
 * Exciting changing and fast paced environment
 * Apply immediately to be considered for this opportunity
 * Competitive salaries and regular reviews

 

 

Apply today to be considered for this exciting opportunity!","risk,auditor,testing,microsoft,auditing",West London,Greater London,W12,GB
W4 2LP,[5],2018-11-28 21:43:50,2018-11-12,2018-12-12T00:00,2595904,Hardware Design Engineer (Associate to Principal),FULL_TIME,"Twickenham,Greater London,TW1,GB",Daniel Evans,ASAP,[65000],2018-11-12,IC Resources,http://www.ic-resources.co.uk,JO-1811-135674_1542017114,https://www.technojobs.co.uk/job/2595904/hardware-design-engineer-associate-to-principal/,"Our client is searching for a Hardware Design Engineer with experience in Circuit Design, Schematic Capture and Embedded Electronics to join an exciting team, working on cutting edge products to perfectly meet the requirements of their clientele and customers. 

The role would suit an engineer that has proven experience in the following areas: 

PCB design 

Schematic Capture

Analogue and Digital Design

This role as a Hardware Design Engineer offers a highly competitive salary and is ideal for any candidate that is self-motivated, exhibits a flexible attitude towards prioritisation and seeks to broaden their experience whilst building on existing skill sets. 

For more information or to apply, please contact Daniel Evans.","engineer,hardware,embedded,digital,electronics",Twickenham,Greater London,TW1,GB
